epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.453,1.75812,2.77022,1.47443,0.26658,0.32762,0.27359,0.14586,1.35444,1.66349,1.30509,0.0700403,0.00332885,0.00332885
2,889.494,1.66032,1.74466,1.38335,0.42538,0.44398,0.42673,0.23594,1.26665,1.40968,1.25738,0.0393808,0.00600263,0.00600263
3,1311.67,1.66045,1.62629,1.38852,0.35891,0.35188,0.30544,0.1573,1.43596,1.68943,1.38655,0.00806121,0.00801641,0.00801641
4,1731.97,1.66583,1.56382,1.40251,0.49041,0.43353,0.47,0.26146,1.30907,1.36942,1.3039,0.00703,0.00703,0.00703
5,2152.25,1.59022,1.39122,1.35401,0.59742,0.56288,0.59799,0.33999,1.22987,1.16098,1.24563,0.00604,0.00604,0.00604
6,2574.71,1.53467,1.2707,1.31837,0.67639,0.57328,0.63515,0.36546,1.19804,1.07751,1.22797,0.00505,0.00505,0.00505
7,3000.3,1.49192,1.18467,1.2889,0.66317,0.61314,0.66656,0.39295,1.15244,0.99126,1.19103,0.00406,0.00406,0.00406
8,3422.98,1.44708,1.11325,1.26238,0.72372,0.62445,0.70989,0.42377,1.12835,0.92516,1.17722,0.00307,0.00307,0.00307
9,3843.92,1.40515,1.03579,1.23622,0.71626,0.68287,0.72748,0.43858,1.10089,0.88593,1.16305,0.00208,0.00208,0.00208
10,4266.29,1.36418,0.9784,1.21256,0.74759,0.66264,0.73231,0.44695,1.08077,0.85912,1.15218,0.00109,0.00109,0.00109
